detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs
SHITOMASI,BRISK,0,1370,125,0,20.4513,255.79,0
SHITOMASI,BRISK,1,1301,118,95,19.6437,260.561,0.4319
SHITOMASI,BRISK,2,1361,123,88,16.4065,255.708,0.3003
SHITOMASI,BRISK,3,1358,120,80,16.6203,254.681,0.2979
SHITOMASI,BRISK,4,1333,120,90,16.1841,256.181,0.2584
SHITOMASI,BRISK,5,1284,113,82,15.5834,252.589,0.2969
SHITOMASI,BRISK,6,1322,114,79,16.2665,264.645,0.2598
SHITOMASI,BRISK,7,1366,123,85,16.4326,254.891,0.2854
SHITOMASI,BRISK,8,1389,111,86,15.9593,258.837,0.2978
SHITOMASI,BRISK,9,1339,112,82,16.3587,253.753,0.2705

SHITOMASI,BRIEF,0,1370,125,0,15.5817,2.0054,0
SHITOMASI,BRIEF,1,1301,118,115,17.1077,1.6866,0.3006
SHITOMASI,BRIEF,2,1361,123,111,15.8772,1.6778,0.2484
SHITOMASI,BRIEF,3,1358,120,104,15.5531,1.7154,0.2447
SHITOMASI,BRIEF,4,1333,120,101,15.5585,1.6905,0.2583
SHITOMASI,BRIEF,5,1284,113,102,16.9152,1.7209,0.2652
SHITOMASI,BRIEF,6,1322,114,102,15.1382,1.7278,0.2871
SHITOMASI,BRIEF,7,1366,123,100,15.744,1.723,0.2234
SHITOMASI,BRIEF,8,1389,111,109,15.8403,1.7826,0.2541
SHITOMASI,BRIEF,9,1339,112,100,16.8942,1.7335,0.2622

SHITOMASI,ORB,0,1370,125,0,14.6899,1.2923,0
SHITOMASI,ORB,1,1301,118,106,18.2709,0.5449,0.2475
SHITOMASI,ORB,2,1361,123,102,17.4191,0.5388,0.2461
SHITOMASI,ORB,3,1358,120,99,17.6518,0.8935,0.2334
SHITOMASI,ORB,4,1333,120,102,17.1181,0.8986,0.2506
SHITOMASI,ORB,5,1284,113,103,17.5054,0.5346,0.2461
SHITOMASI,ORB,6,1322,114,97,18.7955,0.9709,0.2448
SHITOMASI,ORB,7,1366,123,98,17.1287,0.543,0.2406
SHITOMASI,ORB,8,1389,111,104,17.1055,0.8988,0.2697
SHITOMASI,ORB,9,1339,112,97,15.5678,1.5219,0.2441

SHITOMASI,FREAK,0,1370,125,0,17.1529,38.163,0
SHITOMASI,FREAK,1,1301,118,86,16.3164,31.4447,0.2498
SHITOMASI,FREAK,2,1361,123,90,7.8948,30.8901,0.2776
SHITOMASI,FREAK,3,1358,120,86,7.8717,30.7859,0.3276
SHITOMASI,FREAK,4,1333,120,88,7.7383,29.1555,0.2736
SHITOMASI,FREAK,5,1284,113,86,8.7417,28.9194,0.2563
SHITOMASI,FREAK,6,1322,114,80,7.6229,30.3759,0.2478
SHITOMASI,FREAK,7,1366,123,81,7.7199,29.4127,0.3037
SHITOMASI,FREAK,8,1389,111,86,7.7472,28.7846,0.2427
SHITOMASI,FREAK,9,1339,112,85,8.033,29.2069,0.2534

HARRIS,BRISK,0,115,17,0,7.8046,253.397,0
HARRIS,BRISK,1,98,14,12,8.6975,252.825,0.1937
HARRIS,BRISK,2,113,18,10,7.9626,259.778,0.1943
HARRIS,BRISK,3,121,21,14,7.6956,252.867,0.2004
HARRIS,BRISK,4,160,26,15,7.7988,251.013,0.183
HARRIS,BRISK,5,383,43,16,14.3224,257.984,0.1975
HARRIS,BRISK,6,85,18,16,7.1991,255.831,0.2053
HARRIS,BRISK,7,210,31,15,9.4859,251.032,0.1812
HARRIS,BRISK,8,171,26,23,9.6711,249.436,0.2223
HARRIS,BRISK,9,281,34,21,20.9924,264.746,0.1773

HARRIS,BRIEF,0,115,17,0,7.9351,0.1897,0
HARRIS,BRIEF,1,98,14,14,7.9179,0.1787,0.1712
HARRIS,BRIEF,2,113,18,11,8.5589,0.1391,0.1712
HARRIS,BRIEF,3,121,21,15,7.7856,0.1935,0.1707
HARRIS,BRIEF,4,160,26,20,8.3546,0.1835,0.1681
HARRIS,BRIEF,5,383,43,24,15.9194,0.3478,0.1981
HARRIS,BRIEF,6,85,18,26,7.0238,0.3652,0.1725
HARRIS,BRIEF,7,210,31,16,9.3973,0.2492,0.1736
HARRIS,BRIEF,8,171,26,24,8.3063,0.2277,0.1826
HARRIS,BRIEF,9,281,34,23,11.5369,0.2597,0.1808

HARRIS,ORB,0,115,17,0,7.8599,0.4506,0
HARRIS,ORB,1,98,14,12,8.0673,0.4422,0.1745
HARRIS,ORB,2,113,18,12,7.8456,0.4461,0.1876
HARRIS,ORB,3,121,21,15,7.6725,0.4529,0.1715
HARRIS,ORB,4,160,26,18,8.2779,0.4559,0.1643
HARRIS,ORB,5,383,43,24,17.4167,0.5204,0.2013
HARRIS,ORB,6,85,18,20,7.4845,0.4407,0.1815
HARRIS,ORB,7,210,31,15,9.1056,0.4647,0.167
HARRIS,ORB,8,171,26,24,8.5572,0.453,0.177
HARRIS,ORB,9,281,34,22,11.0471,0.459,0.1767

HARRIS,FREAK,0,115,17,0,7.2418,28.6178,0
HARRIS,FREAK,1,98,14,13,7.3073,28.4014,0.1911
HARRIS,FREAK,2,113,18,13,7.6198,28.867,0.1723
HARRIS,FREAK,3,121,21,15,7.4621,28.6276,0.1765
HARRIS,FREAK,4,160,26,15,9.2998,28.065,0.202
HARRIS,FREAK,5,383,43,17,16.7732,28.2927,0.1913
HARRIS,FREAK,6,85,18,20,7.2185,28.7368,0.1854
HARRIS,FREAK,7,210,31,12,9.5295,28.7674,0.1828
HARRIS,FREAK,8,171,26,21,8.2372,29.6014,0.2042
HARRIS,FREAK,9,281,34,18,11.5405,29.5789,0.1815

FAST,BRISK,0,1824,149,0,0.922,265.114,0
FAST,BRISK,1,1832,152,97,0.806,251.041,0.2822
FAST,BRISK,2,1810,150,104,0.8031,250.703,0.2891
FAST,BRISK,3,1817,155,101,0.6015,260.713,0.318
FAST,BRISK,4,1793,149,98,0.8495,267.722,0.3116
FAST,BRISK,5,1796,149,85,0.5236,249.571,0.3091
FAST,BRISK,6,1788,156,107,0.7994,272.075,0.2747
FAST,BRISK,7,1695,150,107,0.7562,270.587,0.3257
FAST,BRISK,8,1749,138,100,0.8522,259.383,0.3186
FAST,BRISK,9,1770,143,100,0.7729,257.161,0.2942

FAST,BRIEF,0,1824,149,0,0.8375,0.5574,0
FAST,BRIEF,1,1832,152,119,0.8268,0.8771,0.2856
FAST,BRIEF,2,1810,150,130,0.8057,0.8441,0.2753
FAST,BRIEF,3,1817,155,118,0.7979,0.6062,0.2761
FAST,BRIEF,4,1793,149,126,0.7953,0.6322,0.2816
FAST,BRIEF,5,1796,149,108,0.7974,0.4756,0.2782
FAST,BRIEF,6,1788,156,123,0.8127,0.6396,0.2564
FAST,BRIEF,7,1695,150,131,0.7993,0.8042,0.2805
FAST,BRIEF,8,1749,138,125,0.802,0.6774,0.2798
FAST,BRIEF,9,1770,143,119,0.8334,0.617,0.2738

FAST,ORB,0,1824,149,0,0.8072,0.6008,0
FAST,ORB,1,1832,152,118,0.8686,0.729,0.2886
FAST,ORB,2,1810,150,123,0.8035,0.7133,0.2902
FAST,ORB,3,1817,155,112,0.7956,0.7357,0.2774
FAST,ORB,4,1793,149,126,0.8037,0.8102,0.2759
FAST,ORB,5,1796,149,106,0.8132,0.7075,2.5688
FAST,ORB,6,1788,156,122,0.8159,0.8125,0.2641
FAST,ORB,7,1695,150,122,0.7391,0.5675,0.2675
FAST,ORB,8,1749,138,123,1.1069,0.6039,0.2695
FAST,ORB,9,1770,143,119,0.803,0.6663,0.2632

FAST,FREAK,0,1824,149,0,0.8084,29.7884,0
FAST,FREAK,1,1832,152,98,0.9118,30.8767,0.2843
FAST,FREAK,2,1810,150,99,0.8767,30.0134,0.2987
FAST,FREAK,3,1817,155,91,0.8226,33.6938,0.318
FAST,FREAK,4,1793,149,98,0.7998,30.3097,0.2938
FAST,FREAK,5,1796,149,85,0.7965,30.1913,0.2974
FAST,FREAK,6,1788,156,99,0.8282,30.049,0.2892
FAST,FREAK,7,1695,150,102,0.8539,29.541,0.2885
FAST,FREAK,8,1749,138,101,0.8082,29.6652,0.2768
FAST,FREAK,9,1770,143,105,0.8035,29.3343,0.2495

BRISK,BRISK,0,2757,264,0,283.178,256.302,0
BRISK,BRISK,1,2777,282,171,293.394,262.743,0.4451
BRISK,BRISK,2,2741,282,176,275.057,259.52,0.5205
BRISK,BRISK,3,2735,277,157,290.156,253.939,0.4764
BRISK,BRISK,4,2757,297,176,281.541,265.522,0.4562
BRISK,BRISK,5,2695,279,174,289.106,251.194,0.4786
BRISK,BRISK,6,2715,289,188,278.23,264.976,0.4893
BRISK,BRISK,7,2628,272,173,277.86,256.705,0.4536
BRISK,BRISK,8,2639,266,171,282.537,261.857,0.4411
BRISK,BRISK,9,2672,254,184,279.917,254.031,0.4447

BRISK,BRIEF,0,2757,264,0,283.394,0.6571,0
BRISK,BRIEF,1,2777,282,178,278.393,0.7291,0.3957
BRISK,BRIEF,2,2741,282,205,279.384,0.8192,0.4356
BRISK,BRIEF,3,2735,277,185,282.709,0.7272,0.4045
BRISK,BRIEF,4,2757,297,179,276.752,0.7715,0.4325
BRISK,BRIEF,5,2695,279,183,275.606,0.682,0.4049
BRISK,BRIEF,6,2715,289,195,281.745,0.8008,0.4151
BRISK,BRIEF,7,2628,272,207,288.02,0.7059,0.4187
BRISK,BRIEF,8,2639,266,189,275.735,0.6888,0.4262
BRISK,BRIEF,9,2672,254,183,275.31,0.6584,0.4228

BRISK,ORB,0,2757,264,0,290.367,3.6588,0
BRISK,ORB,1,2777,282,162,280.779,3.7331,0.4029
BRISK,ORB,2,2741,282,175,283.411,3.6862,0.4209
BRISK,ORB,3,2735,277,158,284.261,4.0232,0.4443
BRISK,ORB,4,2757,297,167,288.685,3.7791,0.4312
BRISK,ORB,5,2695,279,160,279.531,3.6627,0.4082
BRISK,ORB,6,2715,289,182,277.662,3.6983,0.4667
BRISK,ORB,7,2628,272,167,295.898,3.6988,0.415
BRISK,ORB,8,2639,266,171,280.97,3.5864,0.3986
BRISK,ORB,9,2672,254,172,276.163,3.5852,0.4156

BRISK,FREAK,0,2757,264,0,287.697,31.0771,0
BRISK,FREAK,1,2777,282,160,279.012,29.0141,0.4269
BRISK,FREAK,2,2741,282,177,280.588,28.7322,0.4295
BRISK,FREAK,3,2735,277,155,280.056,29.4967,0.4662
BRISK,FREAK,4,2757,297,173,279.3,29.6235,0.5029
BRISK,FREAK,5,2695,279,161,277.223,28.9055,0.4477
BRISK,FREAK,6,2715,289,183,277.759,29.8718,0.432
BRISK,FREAK,7,2628,272,169,276.443,29.3141,0.4439
BRISK,FREAK,8,2639,266,178,279.474,29.2388,0.439
BRISK,FREAK,9,2672,254,168,280.099,30.0319,0.4275

ORB,BRISK,0,500,92,0,7.2534,262.075,0
ORB,BRISK,1,500,102,73,5.4811,254.518,0.2633
ORB,BRISK,2,500,106,74,5.0738,250.688,0.2902
ORB,BRISK,3,500,113,79,4.8789,259.575,0.2847
ORB,BRISK,4,500,109,85,5.3584,257.598,0.2932
ORB,BRISK,5,500,125,79,5.0236,254.024,0.2367
ORB,BRISK,6,500,130,92,4.8355,254.566,0.2901
ORB,BRISK,7,500,129,90,5.0665,255.951,0.2747
ORB,BRISK,8,500,127,88,4.8568,257.714,0.2814
ORB,BRISK,9,500,128,91,5.2394,252.47,0.2706

ORB,BRIEF,0,500,92,0,5.1439,0.3632,0
ORB,BRIEF,1,500,102,49,4.9877,0.5229,0.2592
ORB,BRIEF,2,500,106,43,4.9514,0.3571,0.2402
ORB,BRIEF,3,500,113,45,4.8695,0.3403,0.2291
ORB,BRIEF,4,500,109,59,4.9186,0.3322,0.2434
ORB,BRIEF,5,500,125,53,4.8974,0.4071,0.2242
ORB,BRIEF,6,500,130,78,5.1765,0.3822,0.2364
ORB,BRIEF,7,500,129,68,5.2548,0.3916,0.2405
ORB,BRIEF,8,500,127,84,5.4666,0.4054,0.2692
ORB,BRIEF,9,500,128,66,4.9307,0.6346,0.2399

ORB,ORB,0,500,92,0,4.9501,3.713,0
ORB,ORB,1,500,102,67,4.9235,3.6063,0.225
ORB,ORB,2,500,106,70,5.2048,3.8331,0.2359
ORB,ORB,3,500,113,72,4.9629,3.4345,0.2436
ORB,ORB,4,500,109,84,4.8789,3.6807,0.2186
ORB,ORB,5,500,125,91,4.9703,3.3786,0.2186
ORB,ORB,6,500,130,101,5.6047,4.0232,0.231
ORB,ORB,7,500,129,92,5.5736,3.5054,0.2389
ORB,ORB,8,500,127,93,5.2093,3.6677,0.2514
ORB,ORB,9,500,128,93,5.1849,3.5587,0.2389

ORB,FREAK,0,500,92,0,5.5194,29.6712,0
ORB,FREAK,1,500,102,42,5.3386,30.1707,0.1948
ORB,FREAK,2,500,106,36,5.225,30.3522,0.1987
ORB,FREAK,3,500,113,44,5.3648,30.2017,0.2042
ORB,FREAK,4,500,109,47,5.0188,30.5332,0.2307
ORB,FREAK,5,500,125,44,5.4214,31.5567,0.2184
ORB,FREAK,6,500,130,51,4.877,29.5189,0.2438
ORB,FREAK,7,500,129,52,5.349,29.0675,0.2499
ORB,FREAK,8,500,127,48,4.929,28.6929,0.2414
ORB,FREAK,9,500,128,56,4.9019,29.869,0.2307

AKAZE,BRISK,0,1351,166,0,92.7932,263.967,0
AKAZE,BRISK,1,1327,157,137,66.1054,263.903,0.3362
AKAZE,BRISK,2,1311,161,125,49.3902,257.786,0.3319
AKAZE,BRISK,3,1351,155,129,52.0677,260.037,0.3354
AKAZE,BRISK,4,1360,163,129,56.8665,264.303,0.3475
AKAZE,BRISK,5,1347,164,131,49.1302,266.25,0.3201
AKAZE,BRISK,6,1363,173,132,54.931,256.228,0.3709
AKAZE,BRISK,7,1331,175,142,57.4968,266.167,0.346
AKAZE,BRISK,8,1357,177,146,42.3688,268.494,0.3341
AKAZE,BRISK,9,1331,179,144,53.8579,256.608,0.3668

AKAZE,BRIEF,0,1351,166,0,52.7722,0.5637,0
AKAZE,BRIEF,1,1327,157,141,51.7749,2.5021,0.3151
AKAZE,BRIEF,2,1311,161,134,50.487,1.9649,0.2692
AKAZE,BRIEF,3,1351,155,131,56.0519,1.8802,0.2725
AKAZE,BRIEF,4,1360,163,130,50.1472,2.4573,0.2863
AKAZE,BRIEF,5,1347,164,134,47.4589,2.9333,0.278
AKAZE,BRIEF,6,1363,173,146,54.7563,1.9797,0.2854
AKAZE,BRIEF,7,1331,175,150,49.545,2.755,0.2647
AKAZE,BRIEF,8,1357,177,148,52.3814,1.9481,0.2708
AKAZE,BRIEF,9,1331,179,152,51.986,2.973,0.2805

AKAZE,ORB,0,1351,166,0,53.3273,2.4306,0
AKAZE,ORB,1,1327,157,131,52.5022,4.3072,0.2479
AKAZE,ORB,2,1311,161,129,50.72,3.5336,0.2819
AKAZE,ORB,3,1351,155,127,53.2208,3.3559,0.2767
AKAZE,ORB,4,1360,163,117,50.3753,3.8222,0.2613
AKAZE,ORB,5,1347,164,130,48.5061,4.138,0.2845
AKAZE,ORB,6,1363,173,131,58.2716,2.4418,0.2442
AKAZE,ORB,7,1331,175,137,39.6409,4.3367,0.25
AKAZE,ORB,8,1357,177,135,49.9376,3.4529,0.267
AKAZE,ORB,9,1331,179,145,61.0351,2.6281,0.2724

AKAZE,FREAK,0,1351,166,0,41.7498,37.0352,0
AKAZE,FREAK,1,1327,157,126,45.1419,36.3837,0.3429
AKAZE,FREAK,2,1311,161,129,45.6168,30.4793,0.3698
AKAZE,FREAK,3,1351,155,127,55.9118,37.6892,0.2996
AKAZE,FREAK,4,1360,163,121,45.9902,31.5514,0.3004
AKAZE,FREAK,5,1347,164,122,47.5658,31.6175,0.2876
AKAZE,FREAK,6,1363,173,133,48.7926,38.4907,0.3134
AKAZE,FREAK,7,1331,175,144,47.2233,38.5525,0.3502
AKAZE,FREAK,8,1357,177,147,45.4787,37.667,0.3776
AKAZE,FREAK,9,1331,179,138,49.5376,37.7243,0.3682

AKAZE,AKAZE,0,1351,166,0,45.1464,50.2426,0
AKAZE,AKAZE,1,1327,157,138,51.4774,49.7635,0.3142
AKAZE,AKAZE,2,1311,161,138,57.2306,50.8461,0.3455
AKAZE,AKAZE,3,1351,155,133,60.3761,49.0569,0.3082
AKAZE,AKAZE,4,1360,163,127,55.2136,48.5285,0.259
AKAZE,AKAZE,5,1347,164,129,49.6603,46.4998,0.2298
AKAZE,AKAZE,6,1363,173,146,30.2996,24.5614,0.2405
AKAZE,AKAZE,7,1331,175,147,57.7837,34.9462,0.238
AKAZE,AKAZE,8,1357,177,151,30.5527,23.7789,0.2781
AKAZE,AKAZE,9,1331,179,150,49.7989,27.0551,0.2589

SIFT,BRISK,0,1437,138,0,94.8978,218.704,0
SIFT,BRISK,1,1371,132,64,103.521,217.155,0.306
SIFT,BRISK,2,1381,124,66,100.732,259.903,0.2763
SIFT,BRISK,3,1336,138,63,86.2828,264.688,0.2985
SIFT,BRISK,4,1303,134,67,90.6106,256.505,0.3038
SIFT,BRISK,5,1370,140,59,86.3164,221.709,0.3212
SIFT,BRISK,6,1396,137,64,100.231,222.248,0.3
SIFT,BRISK,7,1382,148,64,101.353,221.387,0.3157
SIFT,BRISK,8,1462,159,67,100.185,221.365,0.3272
SIFT,BRISK,9,1422,137,80,98.7257,223.09,0.4052

SIFT,BRIEF,0,1437,138,0,98.4379,0.9578,0
SIFT,BRIEF,1,1371,132,86,104.654,0.513,0.2456
SIFT,BRIEF,2,1381,124,78,91.4359,0.4931,0.2462
SIFT,BRIEF,3,1336,138,77,93.112,0.5298,0.2702
SIFT,BRIEF,4,1303,134,86,87.4607,0.7803,0.2436
SIFT,BRIEF,5,1370,140,69,100.039,0.8577,0.2903
SIFT,BRIEF,6,1396,137,74,106.69,0.5002,0.2531
SIFT,BRIEF,7,1382,148,76,88.2528,0.8612,0.2811
SIFT,BRIEF,8,1462,159,70,99.5405,0.905,0.2839
SIFT,BRIEF,9,1422,137,88,98.4066,0.7939,0.3133

SIFT,FREAK,0,1437,138,0,97.0066,29.7595,0
SIFT,FREAK,1,1371,132,65,97.9378,30.4905,0.309
SIFT,FREAK,2,1381,124,72,98.654,30.5572,0.2782
SIFT,FREAK,3,1336,138,65,96.9929,30.0721,0.2918
SIFT,FREAK,4,1303,134,67,118.388,31.2076,0.2422
SIFT,FREAK,5,1370,140,59,106.191,32.865,0.2351
SIFT,FREAK,6,1396,137,59,93.5269,31.5235,0.2511
SIFT,FREAK,7,1382,148,64,104.395,31.0283,0.2829
SIFT,FREAK,8,1462,159,65,104.673,30.5662,0.2648
SIFT,FREAK,9,1422,137,79,104.945,36.3694,0.2932

